| dominio                           | documento           | adm_handle | tec_handle | cob_handle | ticket   | data_cadastro       | ultima_atualizacao  |
| redefloresta.gov.br               | 000.357.038/0001-16 | INTEL69    | INTEL71    | ROLCO192   |  1546935 | 2004-03-05 12:48:15 | 2022-03-15 13:56:18 |
| redegeochronos.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944327 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| redegoverno.gov.br                | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |    93845 | 1998-04-17 18:43:06 | 2020-06-10 15:25:27 |
| redejudiciario.gov.br             | 000.531.640/0001-28 | SEGDI7     | SEGDI7     | GASTI6     |   147655 | 1999-03-17 18:50:31 | 2020-05-05 20:44:13 |
| redemulheres.gov.br               | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944328 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| redepcs.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944329 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| redesim.gov.br                    | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 13280319 | 2014-09-02 19:04:42 | 2020-06-10 15:25:55 |
| redesimples.gov.br                | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 16650347 | 2017-02-21 10:53:14 | 2020-06-10 15:26:31 |
| redesocial.gov.br                 | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   591267 | 2001-06-25 19:13:20 | 2021-01-12 11:25:55 |
| reformaagraria.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944330 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| reformadaprevidencia.gov.br       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944331 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| reformapostal.gov.br              | 034.028.316/0001-03 | GIMCO87    | GIMCO87    | GIMCO87    |   240586 | 2000-01-17 13:47:32 | 2023-07-13 04:30:01 |
| registrocivil.gov.br              | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944332 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| regulacao.gov.br                  | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      |  5602143 | 2009-06-01 19:37:13 | 2009-06-01 19:37:13 |
| relacoesexteriores.gov.br         | 000.394.536/0006-43 | SAT7       | SAT7       | SAT7       | 11413282 | 2013-05-02 18:48:19 | 2023-08-08 15:41:56 |
| relacoesinstitucionais.gov.br     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944333 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| reluz.gov.br                      | 000.001.180/0002-07 | SEGDI7     | SEGDI7     | MASBR353   |   453442 | 2000-11-06 18:41:04 | 2020-08-06 13:24:06 |
| renapi.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944334 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| renaqua.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944335 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| reste.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944336 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| retp.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944337 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| reuse.gov.br                      | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 18988002 | 2018-11-14 17:25:29 | 2020-06-10 15:27:31 |
| rexp.gov.br                       | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 18975761 | 2018-11-29 16:00:55 | 2021-01-12 11:25:55 |
| rfb.gov.br                        | 000.394.460/0058-87 | GSISE      | GSISE      | GSISE      |  6834837 | 2010-05-12 18:28:34 | 2021-11-06 04:14:27 |
| rffsa.gov.br                      | 033.613.332/0001-09 | SEGDI7     | SEGDI7     | MHA6       |    24888 | 1996-12-11 11:00:00 | 2020-05-05 20:44:18 |
| rio.gov.br                        | 029.468.063/0001-59 | JFASI6     | JFASI6     | JFASI6     |   394341 | 2000-07-28 20:03:11 | 2019-12-11 17:59:01 |
| rio20.gov.br                      | 000.394.536/0004-81 | SAT7       | MAR79      | SAT7       |  8216116 | 2011-05-13 10:23:55 | 2012-10-02 11:48:51 |
| riocmsi.gov.br                    | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  2080875 | 2005-04-04 18:47:26 | 2020-06-10 15:28:23 |
| rj.gov.br                         | 030.121.578/0001-67 | DALUZ34    | DALUZ34    | DALUZ34    |     5200 | 1996-01-29 12:00:00 | 2022-03-28 12:02:42 |
| rn.gov.br                         | 008.241.788/0001-30 | SRG89      | JCA6       | JCA6       |    18916 | 1996-10-15 11:00:00 | 2019-08-23 01:45:57 |
| rndh.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944338 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| rni.gov.br                        | 008.469.280/0001-93 | SVF12      | EMN66      | SVF12      |    54733 | 1997-08-29 12:00:00 | 2003-02-25 21:40:53 |
| ro.gov.br                         | 017.900.001/0001-95 | COINF112   | COINF112   | COINF112   |        0 | 1997-03-04 12:00:00 | 2021-12-31 15:00:31 |
| rotasdascidades.gov.br            | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944339 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| rpp.gov.br                        | 000.422.744/0001-02 | SEGDI7     | SEGDI7     | FSC10      |    95057 | 1998-05-08 18:23:38 | 2020-05-05 20:44:17 |
| rr.gov.br                         | 084.012.012/0001-26 | CARCD      | KSL5       | CARCD      |   122624 | 1998-10-21 11:00:00 | 2023-01-12 13:56:38 |
| rrc.gov.br                        | 001.263.896/0021-08 | CTENE      | CTENE      | CTENE      | 14852395 | 2015-10-27 11:26:54 | 2015-10-27 11:26:54 |
| rs.gov.br                         | 087.124.582/0001-04 | PCPDR1     | CSPRO6     | RDV        |    15966 | 1996-09-06 12:00:00 | 2018-03-05 12:42:39 |
| rsbr.gov.br                       | 004.053.755/0001-05 | SEGDI7     | JCCDA8     | JCCDA8     | 12838688 | 2014-05-09 12:28:21 | 2022-06-27 21:19:51 |
| ruralminas.gov.br                 | 017.291.105/0001-40 | SEGDI7     | SEGDI7     | FTC41      |    86393 | 1998-02-19 11:49:55 | 2020-05-05 20:44:10 |
| sacoeumsaco.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944340 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| saemec.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944341 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| saofrancisco.gov.br               | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944342 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| saude.gov.br                      | 000.394.544/0008-51 | ARC452     | MAVTO30    | ARC452     |    13340 | 1996-08-04 12:00:00 | 2022-03-07 17:16:54 |
| saudenacopa.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944343 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| saudesuplementar.gov.br           | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944344 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| sc.gov.br                         | 083.043.745/0001-65 | COGRE14    | LAB548     | COGRE14    |        0 | 1996-01-01 12:00:00 | 2022-06-23 18:49:44 |
| scdl.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944345 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| scdp.gov.br                       | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  2416257 | 2005-10-26 16:30:29 | 2020-06-10 17:44:13 |
| scnet.gov.br                      | 083.043.745/0001-65 | LAB548     | LAB548     | LAB548     |   160206 | 1999-05-11 12:01:46 | 2022-07-07 21:12:35 |
| sdh.gov.br                        | 005.478.625/0001-87 | MDDHU      | MDDHU      | MDDHU      |  7553676 | 2010-12-01 18:41:08 | 2021-12-08 15:56:43 |
| se.gov.br                         | 013.164.959/0001-04 | AMNOL2     | AMNOL2     | AMNOL2     |    52525 | 1997-08-18 12:00:00 | 2021-10-21 15:28:40 |
| sead.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944346 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| seade.gov.br                      | 051.169.555/0001-00 | SERRA13    | SERRA13    | SERRA13    |        0 | 1996-01-01 12:00:00 | 2020-06-09 13:57:19 |
| seap.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944347 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| secgeral.gov.br                   | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      |  6426174 | 2010-01-13 14:04:12 | 2021-04-07 15:25:41 |
| secom.gov.br                      | 009.234.494/0001-43 | SEGDI7     | SEGDI7     | SEGDI7     |  6041433 | 2009-09-29 12:54:20 | 2022-05-12 12:48:32 |
| secretaria-geral.gov.br           | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      |  6426178 | 2010-01-13 14:19:41 | 2021-04-07 15:26:01 |
| secretariadegoverno.gov.br        | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      | 15186834 | 2016-02-17 12:37:44 | 2021-04-07 14:49:21 |
| secretariageral.gov.br            | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      |  6425828 | 2010-01-13 14:04:12 | 2021-04-07 15:25:58 |
| sedh.gov.br                       | 005.478.625/0001-87 | MDDHU      | MDDHU      | MDDHU      |  1268815 | 2003-07-17 11:07:59 | 2021-12-08 15:56:06 |
| segov.gov.br                      | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      | 15186838 | 2016-02-17 12:37:44 | 2021-04-07 14:49:57 |
| seguranca.gov.br                  | 029.971.283/0001-09 | MIJUS7     | LERBI17    | MIJUS7     | 18549140 | 2018-07-11 03:18:33 | 2023-05-22 21:51:09 |
| segurancaquimica.gov.br           | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944348 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| sei.gov.br                        | 000.394.460/0008-18 | GSISE      | DDA66      | GSISE      | 13442575 | 2014-10-15 09:44:27 | 2023-03-23 19:45:11 |
| seiatos.gov.br                    | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 16634917 | 2017-02-15 18:18:43 | 2020-02-14 21:10:06 |
| selic.gov.br                      | 000.038.166/0010-98 | RIS125     | DESSE15    | RIS125     |  7082360 | 2010-07-28 12:18:08 | 2020-01-15 14:02:28 |
| seliganacaixa.gov.br              | 000.360.305/0001-04 | RMJ35      | GIT60      | GIC166     | 13323021 | 2014-09-17 15:09:31 | 2023-06-04 01:24:59 |
| semanadocredito.gov.br            | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944349 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| semanaenef.gov.br                 | 029.507.878/0001-08 | CVGTE      | CVGTE      | CVGTE      | 12598009 | 2014-02-27 20:48:17 | 2022-08-04 16:23:53 |
| sembarreiras.gov.br               | 000.394.478/0002-24 | SEGDI7     | COINF90    | COINF90    | 17415786 | 2017-09-11 19:35:43 | 2022-04-29 18:41:53 |
| seminariobrasildigital.gov.br     | 000.414.607/0001-18 | DGACO10    | SEIRE9     | DGACO10    | 13890177 | 2015-03-02 19:51:54 | 2023-06-14 13:29:45 |
| seminariodefencil.gov.br          | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944350 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| sena.gov.br                       | 000.360.305/0643-40 | RMJ35      | GIT60      | GIC166     |   323554 | 2000-05-02 13:26:19 | 2023-06-04 01:22:13 |
| senad.gov.br                      | 000.394.411/0001-09 | MIJUS7     | LERBI17    | MIJUS7     |   123648 | 1998-10-29 13:09:47 | 2022-07-21 20:49:28 |
| senado.gov.br                     | 000.530.279/0004-68 | SSAIR      | SSAIR      | SSAIR      |        0 | 1996-01-01 12:00:00 | 2023-10-11 00:45:21 |
| senador.gov.br                    | 000.530.279/0004-68 | SSAIR      | SSAIR      | SSAIR      |  1010027 | 2002-11-07 12:50:27 | 2023-10-11 00:46:02 |
| senadora.gov.br                   | 000.530.279/0004-68 | SSAIR      | SSAIR      | SSAIR      |  1009330 | 2002-11-07 12:50:27 | 2023-10-11 00:46:23 |
| senasp.gov.br                     | 000.394.494/0005-60 | MIJUS7     | LERBI17    | MIJUS7     |  6855036 | 2010-05-13 13:32:35 | 2023-05-22 21:51:24 |
| separeolixo.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944351 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| sepm.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944352 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| seppir.gov.br                     | 006.064.438/0001-10 | SEGDI7     | SEGDI7     | SASAL43    |  6837324 | 2010-05-10 13:09:05 | 2022-07-19 17:12:49 |
| serac4.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944353 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| serpro.gov.br                     | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |        0 | 1996-01-01 12:00:00 | 2020-09-23 13:33:35 |
| serprolabs.gov.br                 | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 18403371 | 2018-05-28 14:36:33 | 2020-06-10 17:50:25 |
| servicoflorestal.gov.br           | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944354 | 2022-08-24 12:16:11 | 2023-05-11 19:06:30 |
| servicos.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     |  6803183 | 2010-05-18 17:59:45 | 2020-04-16 14:00:41 |
| servidor.gov.br                   | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   214379 | 1999-10-28 18:51:13 | 2020-02-14 21:10:57 |
| servir.gov.br                     | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 10991591 | 2013-02-05 13:24:36 | 2021-01-12 11:25:55 |
| seti.gov.br                       | 077.046.951/0001-26 | ADC633     | ADC633     | ADC633     |     6400 | 1996-04-02 12:00:00 | 2009-12-08 13:41:30 |
| sg.gov.br                         | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      |  6426184 | 2010-01-13 14:04:12 | 2021-04-07 15:25:31 |
| sgb.gov.br                        | 000.091.652/0001-89 | CPRMI      | CPRMI      | CPRMI      | 24244966 | 2022-03-24 14:58:16 | 2022-03-24 14:58:16 |
| sgi.gov.br                        | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  8771412 | 2011-09-02 14:15:58 | 2021-01-12 11:25:55 |
| sgov.gov.br                       | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      | 15186841 | 2016-02-17 12:37:44 | 2021-04-07 15:36:20 |
| shoppingcaixa.gov.br              | 000.360.305/0688-41 | RMJ35      | GIT60      | GIC166     |  1850414 | 2004-10-19 18:53:37 | 2023-06-04 01:00:21 |
| siapenet.gov.br                   | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |   212040 | 1999-10-22 11:32:01 | 2020-06-10 17:56:04 |
| sibbr.gov.br                      | 004.079.233/0001-82 | RCO217     | RCO217     | RCO217     | 10488859 | 2012-10-10 19:30:05 | 2019-10-07 23:23:16 |
| sic.gov.br                        | 026.664.015/0001-48 | SEGDI7     | SRBOL6     | GUMSO21    | 12773558 | 2014-04-08 19:15:07 | 2021-10-04 14:49:53 |
| siga.gov.br                       | 000.530.279/0004-68 | SSAIR      | SSAIR      | SSAIR      |  5623057 | 2009-06-03 15:03:40 | 2023-10-11 00:48:01 |
| sigabrasil.gov.br                 | 000.530.279/0004-68 | SSAIR      | SSAIR      | SSAIR      |  5296790 | 2009-02-26 12:25:28 | 2023-10-11 00:48:40 |
| sigepe.gov.br                     | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  8552320 | 2011-07-11 11:29:00 | 2020-06-10 17:56:42 |
| sigplan.gov.br                    | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   626302 | 2001-08-20 19:14:37 | 2020-06-10 17:58:18 |
| simecpr.gov.br                    | 000.394.445/0139-39 | ACRNE38    | ACRNE38    | ACRNE38    |  8651955 | 2011-08-10 12:26:06 | 2022-05-25 12:08:11 |
| simples.gov.br                    | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 12212554 | 2013-11-11 18:31:44 | 2020-06-15 21:27:41 |
| simplifique.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944355 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| simulaminhacasaminhavida.gov.br   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944356 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| sinesp.gov.br                     | 000.394.494/0013-70 | MIJUS7     | LERBI17    | MIJUS7     |  9754732 | 2012-04-20 15:44:26 | 2023-05-22 21:51:51 |
| sinir.gov.br                      | 037.115.375/0002-98 | IRPJU27    | IRPJU27    | IRPJU27    | 10795307 | 2012-12-06 18:47:05 | 2023-06-07 21:10:02 |
| sintegra.gov.br                   | 033.683.111/0001-07 | GSISE      | SEGDI7     | GSISE      |    82349 | 1998-01-16 12:25:08 | 2020-05-05 20:44:14 |
| siop.gov.br                       | 000.394.460/0569-53 | KASRO65    | AUCCA15    | ABSMA40    | 10078525 | 2012-06-27 18:04:07 | 2020-06-03 20:13:06 |
| siorg.gov.br                      | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  6524018 | 2010-03-01 15:01:35 | 2021-01-12 11:25:55 |
| sipam.gov.br                      | 007.129.796/0001-26 | FDM44      | FDM44      | CACMO25    |   545274 | 2001-04-12 19:56:37 | 2021-08-20 13:50:03 |
| sipia.gov.br                      | 005.478.625/0001-87 | MDDHU      | MDDHU      | MDDHU      |  8862007 | 2011-09-30 16:35:51 | 2021-12-08 15:56:02 |
| sirc.gov.br                       | 042.422.253/0027-32 | DDA66      | DDT10      | DDC98      | 11967324 | 2013-09-19 22:13:38 | 2021-09-21 18:45:32 |
| sisbacen.gov.br                   | 000.038.166/0001-05 | DIBCB      | SETIN16    | DIBCB      |   135007 | 1998-12-31 00:24:19 | 2016-05-18 21:19:24 |
| sisbin.gov.br                     | 001.175.497/0001-41 | GDS174     | DSARA3     | GDS174     |  2158741 | 2005-05-25 12:05:59 | 2020-06-01 17:15:04 |
| siscomex.gov.br                   | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |   104131 | 1998-06-24 19:32:39 | 2020-06-10 18:01:31 |
| sisgen.gov.br                     | 037.115.375/0002-98 | IRPJU27    | IRPJU27    | IRPJU27    | 14786814 | 2015-10-14 19:25:25 | 2023-06-07 21:11:05 |
| sisp.gov.br                       | 000.489.828/0001-55 | SEGDI7     | SEGDI7     | SEGDI7     |  7635221 | 2010-12-10 23:52:45 | 2021-12-13 03:25:58 |
| sispac.gov.br                     | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  8747901 | 2011-08-30 18:34:05 | 2021-01-12 11:25:55 |
| sistema.gov.br                    | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 25650594 | 2023-01-26 19:20:31 | 2023-01-26 19:20:31 |
| sitedoconsumidor.gov.br           | 000.662.270/0003-20 | CLCTO26    | LFL        | CLCTO26    |   453947 | 2000-10-30 16:12:35 | 2019-12-27 17:23:23 |
| sivam.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944357 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| sivnet.gov.br                     | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |   719669 | 2002-01-29 18:45:39 | 2020-05-05 20:44:18 |
| sjrs.gov.br                       | 005.442.380/0001-38 | ALSIL482   | ALSIL482   | ALSIL482   |   121928 | 1998-10-26 17:07:51 | 2017-11-24 17:45:15 |
| smpe.gov.br                       | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 12212581 | 2013-11-06 13:41:09 | 2020-06-10 18:09:33 |
| snirh.gov.br                      | 004.204.444/0001-08 | FACAL288   | FACAL288   | FACAL288   |   213127 | 1999-10-26 13:51:32 | 2023-09-08 14:20:53 |
| snis.gov.br                       | 005.465.986/0001-99 | MIDRE13    | MIDRE13    | MIDRE13    |   624275 | 2001-09-10 11:14:55 | 2022-05-13 21:55:18 |
| snisb.gov.br                      | 004.204.444/0001-08 | FACAL288   | FACAL288   | FACAL288   | 15125034 | 2016-01-21 18:23:20 | 2023-09-08 14:23:11 |
| snj.gov.br                        | 007.490.910/0001-49 | SEGDI7     | SEGDI7     | SENJU7     | 18326400 | 2018-05-17 13:17:51 | 2020-05-05 20:44:14 |
| socinfo.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944358 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| softwarelivre.gov.br              | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  1254667 | 2003-06-24 10:57:23 | 2020-06-10 18:11:03 |
| softwarepublico.gov.br            | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  2483279 | 2005-11-24 12:23:25 | 2020-02-14 21:15:47 |
| solucoestipublica.gov.br          | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  1121051 | 2003-02-27 18:44:28 | 2020-06-10 18:11:56 |
| somostodosbrasil.gov.br           | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944359 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| soumaismedico.gov.br              | 015.126.437/0001-43 | DOEBS      | DOEBS      | DOEBS      | 11932831 | 2013-09-24 15:56:06 | 2014-05-28 13:38:06 |
| soumaismedicos.gov.br             | 015.126.437/0001-43 | DOEBS      | DOEBS      | DOEBS      | 11932840 | 2013-09-24 15:56:06 | 2014-05-28 13:38:18 |
| sp-trt.gov.br                     | 003.241.738/0001-39 | RECCO133   | SERTE12    | RECCO133   |   168323 | 1999-06-11 19:04:29 | 2021-03-16 18:20:35 |
| sp.gov.br                         | 062.577.929/0001-35 | GEIPR      | GEIPR      | GEIPR      |        0 | 1995-07-06 12:00:00 | 2020-11-06 03:20:15 |
| spm.gov.br                        | 005.510.958/0001-46 | MAR79      | MAR79      | MAR79      |  6887059 | 2010-05-26 13:50:57 | 2020-01-23 20:42:14 |
| spmulheres.gov.br                 | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944360 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| sptrt.gov.br                      | 003.241.738/0001-39 | RECCO133   | SERTE12    | RECCO133   |   168325 | 1999-06-11 19:34:36 | 2021-03-16 18:21:07 |
| sri.gov.br                        | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944361 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| srpvsp.gov.br                     | 000.394.429/0094-00 | SEGDI7     | SEGDI7     | SRS330     |  4854674 | 2008-10-03 19:05:01 | 2021-06-16 12:07:26 |
| startupbrasil.gov.br              | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944362 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| startuppoint.gov.br               | 000.394.478/0002-24 | SEGDI7     | COINF90    | COINF90    | 18997266 | 2018-11-22 14:30:34 | 2022-04-12 20:55:57 |
| stf.gov.br                        | 000.531.640/0001-28 | SEGDI7     | SEGDI7     | GASTI6     |     6820 | 1996-04-16 12:00:00 | 2020-05-05 20:44:18 |
| stfnet.gov.br                     | 000.531.640/0001-28 | SEGDI7     | SEGDI7     | GASTI6     |   147657 | 1999-03-17 19:20:51 | 2020-05-05 20:44:23 |
| stj.gov.br                        | 000.488.478/0001-02 | JHTMS      | JHTMS      | JHTMS      |        0 | 1995-08-29 12:00:00 | 2021-06-23 17:09:04 |
| stm.gov.br                        | 000.497.560/0001-01 | MACMA940   | MACMA940   | DPM2       |    27285 | 1997-01-06 11:00:00 | 2023-10-16 20:32:04 |
| stn.gov.br                        | 000.394.460/0409-50 | MEAGU24    | ROFFR86    | GEOIN      |  5830758 | 2009-08-11 11:36:52 | 2022-05-23 16:03:21 |
| sudam.gov.br                      | 004.931.713/0001-20 | GGS6       | GGS6       | GGS4       |    51749 | 1997-08-13 12:00:00 | 2021-01-03 17:06:51 |
| sudeco.gov.br                     | 013.802.028/0001-94 | LRSAL9     | LRSAL9     | LRSAL9     |  8570053 | 2011-07-29 12:22:58 | 2023-02-03 22:47:22 |
| sudene.gov.br                     | 010.890.804/0001-67 | JOSRI114   | MRAGA3     | JOSRI114   |        0 | 1996-01-01 12:00:00 | 2019-11-13 12:52:30 |
| suframa.gov.br                    | 004.407.029/0001-43 | SEGDI7     | GSISE      | MAMME408   |    82825 | 1998-01-28 21:39:44 | 2022-05-25 13:35:30 |
| super.gov.br                      | 033.683.111/0001-07 | GSISE      | DDA66      | GSISE      | 22238289 | 2021-01-14 14:54:59 | 2022-07-05 12:38:22 |
| supercaminhaodasorte.gov.br       | 000.360.305/0643-40 | RMJ35      | GIT60      | GIC166     |   323561 | 2000-05-02 13:26:20 | 2023-05-28 02:48:30 |
| supersenaduplachance.gov.br       | 000.360.305/0655-83 | RMJ35      | GIT60      | GIC166     |   399422 | 2000-08-04 21:18:01 | 2023-05-28 02:45:53 |
| supertec.gov.br                   | 000.394.478/0002-24 | SEGDI7     | COINF90    | COINF90    | 16614188 | 2017-02-14 19:57:32 | 2020-08-28 14:31:27 |
| supertrinca.gov.br                | 000.360.305/0688-41 | RMJ35      | GIT60      | GIC166     |   323567 | 2000-05-02 13:26:20 | 2023-05-28 02:46:59 |
| sus.gov.br                        | 000.394.544/0271-13 | DIS5       | DIS5       | DIS5       |  8672213 | 2011-08-22 13:52:29 | 2016-06-06 13:40:44 |
| susep.gov.br                      | 042.354.068/0001-19 | SUSPR6     | SUSPR6     | SUSPR6     |    82347 | 1998-01-16 12:25:06 | 2020-10-05 00:45:38 |
| tavbrasil.gov.br                  | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944363 | 2022-08-24 12:16:12 | 2023-05-11 19:06:30 |
| taxigov.gov.br                    | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 16555405 | 2017-01-26 17:27:30 | 2020-02-14 21:11:47 |
| taxigov2.gov.br                   | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 19051907 | 2018-11-29 16:00:56 | 2021-01-12 11:25:55 |
| tcu.gov.br                        | 000.414.607/0001-18 | DGACO10    | SEIRE9     | DGACO10    |     6596 | 1996-04-10 12:00:00 | 2023-06-23 15:22:46 |
| tecanet.gov.br                    | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |   719687 | 2002-01-29 18:45:41 | 2020-05-05 20:44:18 |
